---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 ST 21-3s 1.233e+02  [-175 1.641e-09 2.861e-11 5.142e-02]  [93 -4 9]
 ST 22-1  1.270e+02  [0 1.000e+00 1.647e-02 9.970e-06]  [1337 -1 28]
 ST 22-2  1.292e+02  [-96 1.457e-05 2.400e-07 9.989e-06]  [1928 -2 66]
 ST 22-3s 1.300e+02  [-175 1.650e-09 2.718e-11 5.416e-02]  [94 -4 9]
 ST 23-1  1.338e+02  [0 1.000e+00 1.567e-02 9.942e-06]  [1346 -1 27]
 ST 23-2  1.358e+02  [-98 1.245e-05 1.951e-07 9.934e-06]  [1692 -1 64]
 ST 23-3s 1.366e+02  [-175 1.685e-09 2.640e-11 5.524e-02]  [82 -2 7]
 ST 24-1  1.415e+02  [0 1.000e+00 1.841e-02 9.979e-06]  [1292 -1 19]
 ST 24-2  1.435e+02  [-97 1.371e-05 2.525e-07 9.979e-06]  [1741 0 66]
 ST 24-3s 1.443e+02  [-176 1.447e-09 2.665e-11 5.400e-02]  [97 -5 9]
 ST 25-1  1.477e+02  [0 1.000e+00 1.728e-02 9.987e-06]  [1303 -2 28]
 ST 25-2  1.494e+02  [-98 1.126e-05 1.945e-07 9.896e-06]  [1286 -1 61]
 ST 25-3s 1.502e+02  [-176 1.521e-09 2.628e-11 5.591e-02]  [77 -1 7]
 ST 26-1  1.536e+02  [0 1.000e+00 1.893e-02 9.991e-06]  [1263 -2 26]
 ST 26-2  1.555e+02  [-97 1.261e-05 2.386e-07 9.982e-06]  [1831 -3 66]
 ST 26-3s 1.561e+02  [-177 1.363e-09 2.581e-11 5.651e-02]  [95 -4 9]
 ST 27-1  1.597e+02  [0 1.000e+00 1.612e-02 9.991e-06]  [1291 -1 28]
 ST 27-2  1.618e+02  [-99 1.104e-05 1.780e-07 9.986e-06]  [1771 -2 65]
 ST 27-3s 1.625e+02  [-176 1.575e-09 2.538e-11 5.809e-02]  [74 -1 6]
 ST 28-1  1.664e+02  [0 1.000e+00 1.398e-02 9.988e-06]  [1292 -1 28]
 ST 28-2  1.684e+02  [-98 1.199e-05 1.676e-07 9.993e-06]  [1712 -2 63]
 ST 28-3s 1.691e+02  [-175 1.724e-09 2.411e-11 6.110e-02]  [66 0 6]
 ST 29-1  1.725e+02  [0 1.000e+00 1.230e-02 9.947e-06]  [1309 -2 27]
 ST 29-2  1.759e+02  [-98 1.194e-05 1.469e-07 1.004e-05]  [1577 -3 34]
 ST 29-3s 1.766e+02  [-174 1.959e-09 2.409e-11 6.114e-02]  [24 -28 2]
 ST 30-1  1.802e+02  [0 1.000e+00 1.950e-01 9.970e-06]  [1336 -1 26]
 ST 30-2  1.816e+02  [-70 3.012e-04 5.872e-05 9.915e-06]  [1030 -1 53]
 ST 30-3s 1.830e+02  [-170 3.112e-09 6.066e-10 2.425e-03]  [1070 -3 53]
 ST 31-1  1.865e+02  [0 1.000e+00 7.888e+00 9.989e-06]  [1328 0 30]
 ST 31-2  1.877e+02  [-38 1.203e-02 9.491e-02 9.991e-06]  [742 -1 42]
 ST 31-3s 1.894e+02  [-122 7.341e-07 5.790e-06 9.984e-06]  [1596 -1 63]
 ST 32-1  1.931e+02  [0 1.000e+00 4.882e+00 9.964e-06]  [1545 -1 31]
 ST 32-2  1.943e+02  [-24 5.993e-02 2.926e-01 9.946e-06]  [683 -1 44]
 ST 32-3  1.961e+02  [-91 2.622e-05 1.280e-04 9.937e-06]  [1351 -1 61]
 ST 32-4s 1.980e+02  [-136 1.513e-07 7.385e-07 9.997e-06]  [1254 -2 61]
 ST 33-1  2.029e+02  [0 1.000e+00 8.308e+00 9.944e-06]  [1445 -1 25]
 ST 33-2  2.044e+02  [-30 2.887e-02 2.398e-01 9.995e-06]  [833 -1 47]
 ST 33-3  2.061e+02  [-86 4.584e-05 3.809e-04 9.978e-06]  [1316 -3 57]
 ST 33-4s 2.095e+02  [-128 3.912e-07 3.250e-06 9.979e-06]  [1274 -3 31]
 ST 34-1  2.132e+02  [0 1.000e+00 1.043e+01 9.967e-06]  [1318 -3 27]
 ST 34-2  2.149e+02  [-37 1.277e-02 1.331e-01 9.958e-06]  [1032 -1 59]
 ST 34-3  2.192e+02  [-87 4.184e-05 4.363e-04 9.960e-06]  [1298 -1 69]
 ST 34-4s 2.228e+02  [-132 2.259e-07 2.356e-06 9.993e-06]  [1218 -3 51]
 ST 35-1  2.295e+02  [0 1.000e+00 1.489e+01 9.952e-06]  [1187 -1 22]
 ST 35-2  2.312e+02  [-21 8.592e-02 1.279e+00 9.945e-06]  [927 0 44]
 ST 35-3  2.324e+02  [-59 1.077e-03 1.604e-02 9.967e-06]  [890 -1 48]
 ST 35-4s 2.339e+02  [-110 2.887e-06 4.299e-05 9.937e-06]  [980 -1 51]
 ST 36-1  2.371e+02  [0 1.000e+00 1.250e+01 9.960e-06]  [1147 -2 24]
 ST 36-2  2.386e+02  [-30 3.134e-02 3.918e-01 1.000e-05]  [1109 -2 56]
 ST 36-3  2.401e+02  [-77 1.300e-04 1.626e-03 9.946e-06]  [1118 -3 59]
 ST 36-4s 2.436e+02  [-122 7.419e-07 9.274e-06 9.926e-06]  [1202 -2 30]
 ST 37-1  2.476e+02  [0 1.000e+00 1.243e+01 9.980e-06]  [1206 -2 26]
 ST 37-2  2.494e+02  [-34 1.963e-02 2.440e-01 9.949e-06]  [1146 -2 57]
 ST 37-3  2.510e+02  [-82 7.795e-05 9.691e-04 9.992e-06]  [1071 -3 56]
 ST 37-4s 2.527e+02  [-130 2.874e-07 3.574e-06 9.981e-06]  [1202 -2 60]
 ST 38-1  2.564e+02  [0 1.000e+00 9.972e+00 9.981e-06]  [1117 -3 28]
 ST 38-2  2.580e+02  [-38 1.197e-02 1.194e-01 9.984e-06]  [1087 -1 57]
 ST 38-3  2.602e+02  [-95 1.675e-05 1.670e-04 9.930e-06]  [1206 -2 62]
 ST 38-4s 2.620e+02  [-147 4.399e-08 4.387e-07 9.979e-06]  [1171 -4 59]
 ST 39-1  2.654e+02  [0 1.000e+00 6.535e+00 9.974e-06]  [1108 -2 28]
 ST 39-2  2.673e+02  [-46 4.772e-03 3.118e-02 9.992e-06]  [1129 0 58]
 ST 39-3s 2.691e+02  [-109 3.296e-06 2.154e-05 1.000e-05]  [1139 -1 57]
 ST 40-1  2.728e+02  [0 1.000e+00 5.007e+00 9.928e-06]  [1042 -1 25]
 ST 40-2  2.763e+02  [-50 2.988e-03 1.496e-02 9.928e-06]  [1105 -2 78]
 ST 40-3s 2.785e+02  [-115 1.690e-06 8.464e-06 9.996e-06]  [1350 -1 63]
 ST 41-1  2.823e+02  [0 1.000e+00 2.609e+00 9.943e-06]  [1239 -1 30]
 ST 41-2  2.840e+02  [-51 2.640e-03 6.888e-03 9.992e-06]  [1081 -1 58]
 ST 41-3s 2.860e+02  [-115 1.763e-06 4.600e-06 9.938e-06]  [1302 -1 61]
 ST 42-1  2.901e+02  [0 1.000e+00 2.413e+00 9.951e-06]  [1147 -2 27]
 ST 42-2  2.918e+02  [-53 2.117e-03 5.108e-03 9.967e-06]  [1117 -3 58]
 ST 42-3s 2.938e+02  [-117 1.290e-06 3.112e-06 9.955e-06]  [1295 -1 60]
 ST 43-1  2.976e+02  [0 1.000e+00 1.155e+00 9.976e-06]  [1199 -1 26]
 ST 43-2  2.993e+02  [-51 2.796e-03 3.229e-03 9.956e-06]  [1135 -1 56]
 ST 43-3s 3.013e+02  [-118 1.212e-06 1.399e-06 9.965e-06]  [1343 -1 62]
 ST 44-1  3.054e+02  [0 1.000e+00 1.189e+00 9.948e-06]  [1220 -3 27]
 ST 44-2  3.071e+02  [-55 1.631e-03 1.939e-03 9.965e-06]  [1175 0 59]
 ST 44-3s 3.111e+02  [-124 5.888e-07 6.999e-07 9.964e-06]  [1383 0 79]
 ST 45-1  3.148e+02  [0 1.000e+00 6.379e-01 9.993e-06]  [1239 -1 29]
 ST 45-2  3.165e+02  [-57 1.341e-03 8.552e-04 9.998e-06]  [1111 -2 61]
 ST 45-3s 3.185e+02  [-126 4.533e-07 2.892e-07 9.941e-06]  [1366 -2 63]
 ST 46-1  3.227e+02  [0 1.000e+00 4.491e-01 9.984e-06]  [1343 -1 30]
 ST 46-2  3.244e+02  [-59 1.015e-03 4.561e-04 9.997e-06]  [1197 -1 53]
 ST 46-3s 3.267e+02  [-129 3.416e-07 1.534e-07 9.963e-06]  [1447 -1 68]
 ST 47-1  3.307e+02  [0 1.000e+00 5.906e-01 9.970e-06]  [1288 -1 28]
 ST 47-2  3.325e+02  [-67 4.225e-04 2.495e-04 9.948e-06]  [1304 -2 61]
 ST 47-3s 3.346e+02  [-138 1.186e-07 7.007e-08 2.093e-05]  [1314 -2 62]
 ST 48-1  3.387e+02  [0 1.000e+00 4.243e-01 9.937e-06]  [1313 -2 31]
 ST 48-2  3.407e+02  [-67 4.278e-04 1.815e-04 9.965e-06]  [1408 -2 57]
 ST 48-3s 3.444e+02  [-139 1.025e-07 4.350e-08 3.381e-05]  [1330 0 80]
 ST 49-1  3.488e+02  [0 1.000e+00 9.447e-01 9.949e-06]  [1211 -2 28]
 ST 49-2  3.502e+02  [-60 9.700e-04 9.164e-04 9.999e-06]  [1269 -3 58]
 ST 49-3s 3.522e+02  [-134 1.828e-07 1.727e-07 9.965e-06]  [1521 -2 64]
 ST 50-1  3.560e+02  [0 1.000e+00 5.915e-01 9.945e-06]  [1289 -1 24]
 ST 50-2  3.575e+02  [-65 5.413e-04 3.202e-04 9.928e-06]  [1284 -1 58]
 ST 50-3s 3.590e+02  [-141 8.809e-08 5.211e-08 2.824e-05]  [1324 -3 60]
 ST 51-1  3.623e+02  [0 1.000e+00 7.560e-01 9.972e-06]  [1235 -1 28]
 ST 51-2  3.639e+02  [-65 5.167e-04 3.906e-04 9.981e-06]  [1419 -2 58]
 ST 51-3s 3.656e+02  [-140 9.232e-08 6.979e-08 2.106e-05]  [1446 -1 61]
 ST 52-1  3.694e+02  [0 1.000e+00 3.667e-01 9.950e-06]  [1326 -3 28]
 ST 52-2  3.711e+02  [-64 5.888e-04 2.159e-04 9.977e-06]  [1305 -2 58]
