---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 ST 19-1  8.154e+01  [0 1.000e+00 1.804e-01 9.978e-06]  [3798 -1 66]
 ST 19-2  8.272e+01  [-58 1.190e-03 2.146e-04 9.999e-06]  [3334 0 87]
 ST 19-3s 8.400e+01  [-134 1.937e-07 3.495e-08 3.793e-05]  [3686 0 88]
 ST 20-1  8.584e+01  [0 1.000e+00 2.157e-01 9.986e-06]  [4011 -1 67]
 ST 20-2  8.695e+01  [-55 1.595e-03 3.441e-04 9.998e-06]  [3088 -1 86]
 ST 20-3s 8.826e+01  [-137 1.268e-07 2.736e-08 4.848e-05]  [3773 -1 88]
 ST 21-1  9.012e+01  [0 1.000e+00 2.065e-01 9.984e-06]  [4112 -1 68]
 ST 21-2  9.118e+01  [-52 2.260e-03 4.667e-04 9.995e-06]  [2930 0 85]
 ST 21-3s 9.249e+01  [-136 1.433e-07 2.959e-08 4.483e-05]  [3757 -1 88]
 ST 22-1  9.423e+01  [0 1.000e+00 1.687e-01 9.977e-06]  [3691 -1 65]
 ST 22-2  9.548e+01  [-64 5.637e-04 9.511e-05 9.983e-06]  [3534 0 88]
 ST 22-3s 9.656e+01  [-142 7.477e-08 1.261e-08 1.050e-04]  [3009 -1 86]
 ST 23-1  9.800e+01  [0 1.000e+00 1.463e-01 9.983e-06]  [2742 -1 59]
 ST 23-2  9.944e+01  [-72 2.358e-04 3.449e-05 9.981e-06]  [4197 0 89]
 ST 23-3s 1.006e+02  [-147 4.177e-08 6.110e-09 2.171e-04]  [3128 0 86]
 ST 24-1  1.024e+02  [0 1.000e+00 1.420e-01 9.988e-06]  [3898 -1 67]
 ST 24-2  1.035e+02  [-58 1.253e-03 1.778e-04 1.000e-05]  [3212 -1 86]
 ST 24-3s 1.048e+02  [-140 9.955e-08 1.413e-08 9.376e-05]  [3552 -1 88]
 ST 25-1  1.065e+02  [0 1.000e+00 1.251e-01 9.995e-06]  [3601 -1 65]
 ST 25-2  1.076e+02  [-58 1.135e-03 1.419e-04 9.985e-06]  [3271 0 87]
 ST 25-3s 1.089e+02  [-140 9.172e-08 1.147e-08 1.157e-04]  [3514 -1 87]
 ST 26-1  1.106e+02  [0 1.000e+00 1.238e-01 9.984e-06]  [3795 -1 66]
 ST 26-2  1.120e+02  [-66 4.930e-04 6.103e-05 9.978e-06]  [3788 0 89]
 ST 26-3s 1.131e+02  [-146 4.638e-08 5.742e-09 2.308e-04]  [3377 0 87]
 ST 27-1  1.147e+02  [0 1.000e+00 1.358e-01 9.989e-06]  [3226 0 62]
 ST 27-2  1.163e+02  [-73 2.161e-04 2.933e-05 9.985e-06]  [4505 0 90]
 ST 27-3s 1.173e+02  [-147 4.227e-08 5.739e-09 2.311e-04]  [2846 -1 85]
 ST 28-1  1.190e+02  [0 1.000e+00 1.374e-01 9.978e-06]  [3586 0 64]
 ST 28-2  1.203e+02  [-67 4.319e-04 5.935e-05 9.976e-06]  [3684 0 88]
 ST 28-3s 1.215e+02  [-148 3.947e-08 5.424e-09 2.445e-04]  [3320 0 87]
 ST 29-1  1.233e+02  [0 1.000e+00 1.331e-01 9.988e-06]  [3647 0 64]
 ST 29-2  1.245e+02  [-64 6.212e-04 8.270e-05 9.982e-06]  [3467 -1 88]
 ST 29-3s 1.257e+02  [-148 3.674e-08 4.890e-09 2.713e-04]  [3521 0 88]
 ST 30-1  1.274e+02  [0 1.000e+00 1.283e-01 9.984e-06]  [3581 0 65]
