CaseNum,Radius,Height,Thickness
198.000,2.628,12.000,0.600
199.000,2.657,12.000,0.600
200.000,2.686,12.000,0.600
201.000,2.716,12.000,0.600
202.000,2.745,12.000,0.600
203.000,2.774,12.000,0.600
204.000,2.803,12.000,0.600
205.000,2.833,12.000,0.600
206.000,2.862,12.000,0.600
207.000,2.891,12.000,0.600
208.000,2.921,12.000,0.600
209.000,2.950,12.000,0.600
210.000,2.100,12.000,0.850
211.000,2.129,12.000,0.850
212.000,2.159,12.000,0.850
213.000,2.188,12.000,0.850
214.000,2.217,12.000,0.850
215.000,2.247,12.000,0.850
216.000,2.276,12.000,0.850
217.000,2.305,12.000,0.850
218.000,2.334,12.000,0.850
219.000,2.364,12.000,0.850
220.000,2.393,12.000,0.850
221.000,2.422,12.000,0.850
222.000,2.452,12.000,0.850
223.000,2.481,12.000,0.850
224.000,2.510,12.000,0.850
225.000,2.540,12.000,0.850
226.000,2.569,12.000,0.850
227.000,2.598,12.000,0.850
228.000,2.628,12.000,0.850
229.000,2.657,12.000,0.850
230.000,2.686,12.000,0.850
231.000,2.716,12.000,0.850
232.000,2.745,12.000,0.850
233.000,2.774,12.000,0.850
234.000,2.803,12.000,0.850
235.000,2.833,12.000,0.850
236.000,2.862,12.000,0.850
237.000,2.891,12.000,0.850
238.000,2.921,12.000,0.850
239.000,2.950,12.000,0.850
240.000,2.100,12.000,1.100
241.000,2.129,12.000,1.100
242.000,2.159,12.000,1.100
243.000,2.188,12.000,1.100
244.000,2.217,12.000,1.100
245.000,2.247,12.000,1.100
246.000,2.276,12.000,1.100
247.000,2.305,12.000,1.100
248.000,2.334,12.000,1.100
249.000,2.364,12.000,1.100
250.000,2.393,12.000,1.100
251.000,2.422,12.000,1.100
252.000,2.452,12.000,1.100
253.000,2.481,12.000,1.100
254.000,2.510,12.000,1.100
255.000,2.540,12.000,1.100
256.000,2.569,12.000,1.100
257.000,2.598,12.000,1.100
258.000,2.628,12.000,1.100
259.000,2.657,12.000,1.100
260.000,2.686,12.000,1.100
261.000,2.716,12.000,1.100
262.000,2.745,12.000,1.100
263.000,2.774,12.000,1.100
264.000,2.803,12.000,1.100
265.000,2.833,12.000,1.100
266.000,2.862,12.000,1.100
267.000,2.891,12.000,1.100
268.000,2.921,12.000,1.100
269.000,2.950,12.000,1.100
270.000,2.100,5.000,0.600
271.000,2.100,5.241,0.600
272.000,2.100,5.483,0.600
273.000,2.100,5.724,0.600
274.000,2.100,5.966,0.600
275.000,2.100,6.207,0.600
276.000,2.100,6.448,0.600
277.000,2.100,6.690,0.600
278.000,2.100,6.931,0.600
279.000,2.100,7.172,0.600
280.000,2.100,7.414,0.600
281.000,2.100,7.655,0.600
282.000,2.100,7.897,0.600
283.000,2.100,8.138,0.600
284.000,2.100,8.379,0.600
285.000,2.100,8.621,0.600
