---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 ST 21-2  4.948e+01  [-64 5.959e-04 3.353e-05 9.982e-06]  [1658 -1 79]
 ST 21-3s 4.979e+01  [-164 5.953e-09 3.349e-10 2.698e-03]  [475 -2 52]
 ST 22-1  5.088e+01  [0 1.000e+00 5.365e-02 9.976e-06]  [1734 -2 54]
 ST 22-2  5.158e+01  [-64 6.244e-04 3.350e-05 9.991e-06]  [1643 -1 79]
 ST 22-3s 5.215e+01  [-164 6.243e-09 3.349e-10 2.701e-03]  [1252 -1 74]
 ST 23-1  5.331e+01  [0 1.000e+00 5.494e-02 9.974e-06]  [1749 -1 51]
 ST 23-2  5.405e+01  [-64 6.053e-04 3.325e-05 9.972e-06]  [1776 -2 80]
 ST 23-3s 5.449e+01  [-164 6.040e-09 3.318e-10 2.728e-03]  [882 -1 66]
 ST 24-1  5.563e+01  [0 1.000e+00 5.672e-02 9.999e-06]  [1494 -1 43]
 ST 24-2  5.653e+01  [-83 7.054e-05 4.001e-06 9.978e-06]  [2115 -1 83]
 ST 24-3s 5.676e+01  [-182 7.340e-10 4.163e-11 2.113e-02]  [248 -6 35]
 ST 25-1  5.790e+01  [0 1.000e+00 5.613e-02 9.960e-06]  [1583 0 49]
 ST 25-2  5.853e+01  [-71 2.662e-04 1.494e-05 9.978e-06]  [1412 -1 76]
 ST 25-3s 5.907e+01  [-171 2.664e-09 1.495e-10 6.072e-03]  [1109 -2 72]
 ST 26-1  6.014e+01  [0 1.000e+00 5.620e-02 9.958e-06]  [1328 0 44]
 ST 26-2  6.087e+01  [-76 1.535e-04 8.627e-06 9.974e-06]  [1598 0 79]
 ST 26-3s 6.118e+01  [-176 1.546e-09 8.687e-11 1.042e-02]  [452 -4 50]
 ST 27-1  6.238e+01  [0 1.000e+00 5.832e-02 9.966e-06]  [1637 0 49]
 ST 27-2  6.331e+01  [-91 2.644e-05 1.542e-06 9.966e-06]  [2141 -2 84]
 ST 27-3s 6.367e+01  [-189 3.349e-10 1.953e-11 4.648e-02]  [577 -1 59]
 ST 28-1  6.481e+01  [0 1.000e+00 5.849e-02 9.986e-06]  [1661 -1 50]
 ST 28-2  6.563e+01  [-77 1.400e-04 8.191e-06 9.955e-06]  [1857 -1 81]
 ST 28-3s 6.606e+01  [-177 1.410e-09 8.244e-11 1.096e-02]  [767 0 63]
 ST 29-1  6.714e+01  [0 1.000e+00 5.818e-02 9.975e-06]  [1519 -2 48]
 ST 29-2  6.820e+01  [-92 2.278e-05 1.325e-06 9.994e-06]  [2716 0 86]
 ST 29-3s 6.849e+01  [-190 3.093e-10 1.799e-11 5.038e-02]  [399 -2 49]
 ST 30-1  6.983e+01  [0 1.000e+00 5.992e-02 9.993e-06]  [1609 -1 42]
 ST 30-2  7.082e+01  [-86 4.646e-05 2.784e-06 9.990e-06]  [2422 -1 85]
 ST 30-3s 7.103e+01  [-185 5.060e-10 3.032e-11 2.982e-02]  [176 -5 29]
 ST 31-1  7.221e+01  [0 1.000e+00 6.085e-02 9.997e-06]  [1560 -1 46]
 ST 31-2  7.308e+01  [-88 3.594e-05 2.187e-06 9.986e-06]  [2152 0 83]
 ST 31-3s 7.338e+01  [-187 4.100e-10 2.495e-11 3.622e-02]  [458 -3 50]
 ST 32-1  7.530e+01  [0 1.000e+00 6.086e-02 9.982e-06]  [1560 -1 28]
 ST 32-2  7.620e+01  [-97 1.366e-05 8.314e-07 9.969e-06]  [2169 -1 83]
 ST 32-3s 7.641e+01  [-192 2.429e-10 1.478e-11 5.993e-02]  [168 -3 29]
 ST 33-1  7.765e+01  [0 1.000e+00 6.204e-02 9.971e-06]  [1652 -1 45]
 ST 33-2  7.857e+01  [-94 1.939e-05 1.203e-06 9.985e-06]  [2232 -2 84]
 ST 33-3s 7.887e+01  [-191 2.757e-10 1.710e-11 5.306e-02]  [433 -1 51]
 ST 34-1  8.002e+01  [0 1.000e+00 6.310e-02 9.987e-06]  [1545 -1 46]
 ST 34-2  8.095e+01  [-97 1.274e-05 8.038e-07 9.982e-06]  [2271 -1 84]
 ST 34-3s 8.124e+01  [-192 2.308e-10 1.456e-11 6.236e-02]  [379 -2 46]
 ST 35-1  8.232e+01  [0 1.000e+00 6.344e-02 9.961e-06]  [1496 -1 47]
 ST 35-2  8.331e+01  [-96 1.445e-05 9.166e-07 9.964e-06]  [2383 -1 85]
 ST 35-3s 8.366e+01  [-192 2.411e-10 1.529e-11 5.919e-02]  [570 0 56]
 ST 36-1  8.472e+01  [0 1.000e+00 6.445e-02 9.981e-06]  [1503 -1 49]
 ST 36-2  8.568e+01  [-95 1.771e-05 1.141e-06 9.949e-06]  [2381 -1 84]
 ST 36-3s 8.604e+01  [-191 2.586e-10 1.667e-11 5.444e-02]  [614 0 59]
 ST 37-1  8.716e+01  [0 1.000e+00 6.570e-02 9.994e-06]  [1516 -2 48]
 ST 37-2  8.814e+01  [-99 1.062e-05 6.980e-07 9.946e-06]  [2387 -2 84]
 ST 37-3s 8.845e+01  [-193 2.166e-10 1.423e-11 6.369e-02]  [502 -2 51]
 ST 38-1  8.983e+01  [0 1.000e+00 6.629e-02 9.954e-06]  [1618 -2 41]
 ST 38-2  9.080e+01  [-97 1.300e-05 8.617e-07 9.995e-06]  [2460 0 85]
 ST 38-3s 9.109e+01  [-192 2.289e-10 1.518e-11 5.972e-02]  [430 -1 48]
 ST 39-1  9.223e+01  [0 1.000e+00 6.708e-02 9.969e-06]  [1550 -1 47]
 ST 39-2  9.309e+01  [-97 1.267e-05 8.499e-07 9.966e-06]  [2074 -1 82]
 ST 39-3s 9.341e+01  [-193 2.216e-10 1.486e-11 6.098e-02]  [486 -1 52]
 ST 40-1  9.468e+01  [0 1.000e+00 6.832e-02 9.968e-06]  [1190 -1 33]
 ST 40-2  9.567e+01  [-99 1.078e-05 7.365e-07 9.986e-06]  [2463 0 85]
 ST 40-3s 9.591e+01  [-193 2.128e-10 1.454e-11 6.190e-02]  [269 -2 37]
 ST 41-1  9.707e+01  [0 1.000e+00 6.920e-02 9.973e-06]  [1458 -1 49]
 ST 41-2  9.851e+01  [-99 1.073e-05 7.426e-07 9.981e-06]  [2375 -1 86]
 ST 41-3s 9.892e+01  [-193 2.090e-10 1.446e-11 6.228e-02]  [252 -3 36]
 ST 42-1  1.006e+02  [0 1.000e+00 7.006e-02 9.958e-06]  [1468 -2 49]
 ST 42-2  1.022e+02  [-99 1.099e-05 7.697e-07 9.991e-06]  [2509 -1 86]
