---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 ST 21-3s 7.719e+00  [-155 1.723e-08 1.183e-07 3.286e-02]  [19 -34 1]
 ST 22-1  7.979e+00  [0 1.000e+00 2.465e+01 9.972e-06]  [266 -3 5]
 ST 22-2  8.048e+00  [-98 1.171e-05 2.885e-04 1.366e-05]  [328 -6 25]
 ST 22-3s 8.119e+00  [-167 4.286e-09 1.056e-07 3.675e-02]  [18 -33 1]
 ST 23-1  8.385e+00  [0 1.000e+00 4.319e+01 9.924e-06]  [251 -15 5]
 ST 23-2  8.457e+00  [-99 1.102e-05 4.758e-04 9.956e-06]  [357 -16 26]
 ST 23-3s 8.522e+00  [-171 2.669e-09 1.153e-07 3.419e-02]  [19 -34 0]
 ST 24-1  8.779e+00  [0 1.000e+00 5.912e+01 9.938e-06]  [244 -12 4]
 ST 24-2  8.848e+00  [-99 1.077e-05 6.369e-04 9.769e-06]  [330 -6 22]
 ST 24-3s 8.909e+00  [-175 1.719e-09 1.016e-07 3.869e-02]  [33 -33 2]
 ST 25-1  9.132e+00  [0 1.000e+00 7.091e+01 9.862e-06]  [239 -11 5]
 ST 25-2  9.208e+00  [-99 1.044e-05 7.400e-04 9.677e-06]  [330 -6 21]
 ST 25-3s 9.275e+00  [-175 1.594e-09 1.131e-07 3.498e-02]  [38 -34 1]
 ST 26-1  9.536e+00  [0 1.000e+00 7.760e+01 9.736e-06]  [235 -9 4]
 ST 26-2  9.603e+00  [-99 1.021e-05 7.923e-04 9.991e-06]  [323 -4 24]
 ST 26-3s 9.667e+00  [-177 1.347e-09 1.045e-07 3.598e-02]  [39 -33 2]
 ST 27-1  9.952e+00  [0 1.000e+00 7.873e+01 9.714e-06]  [230 -8 4]
 ST 27-2  1.003e+01  [-100 9.975e-06 7.854e-04 9.914e-06]  [305 -17 19]
 ST 27-3s 1.011e+01  [-176 1.467e-09 1.155e-07 3.381e-02]  [39 -34 4]
 ST 28-1  1.036e+01  [0 1.000e+00 7.395e+01 9.691e-06]  [222 -5 4]
 ST 28-2  1.043e+01  [-100 9.849e-06 7.283e-04 9.966e-06]  [344 -12 25]
 ST 28-3s 1.049e+01  [-176 1.496e-09 1.107e-07 3.501e-02]  [32 -34 2]
 ST 29-1  1.075e+01  [0 1.000e+00 6.384e+01 9.842e-06]  [201 -16 4]
 ST 29-2  1.082e+01  [-100 9.906e-06 6.323e-04 9.952e-06]  [354 -15 25]
 ST 29-3s 1.089e+01  [-174 1.814e-09 1.158e-07 3.359e-02]  [30 -34 1]
 ST 30-1  1.114e+01  [0 1.000e+00 1.180e+03 9.889e-06]  [294 -12 5]
 ST 30-2  1.121e+01  [-63 6.620e-04 7.813e-01 9.741e-06]  [230 -9 21]
 ST 30-3s 1.129e+01  [-163 6.449e-09 7.612e-06 5.163e-04]  [184 -13 10]
 ST 31-1  1.154e+01  [0 1.000e+00 4.782e+04 9.898e-06]  [293 -12 6]
 ST 31-2  1.161e+01  [-32 2.510e-02 1.200e+03 9.819e-06]  [210 -1 16]
 ST 31-3s 1.168e+01  [-130 3.148e-07 1.505e-02 9.693e-06]  [366 -2 22]
 ST 32-1  1.194e+01  [0 1.000e+00 3.673e+04 9.870e-06]  [314 -2 6]
 ST 32-2  1.200e+01  [-29 3.373e-02 1.239e+03 9.946e-06]  [214 -2 16]
 ST 32-3s 1.208e+01  [-126 4.816e-07 1.769e-02 9.815e-06]  [352 -15 23]
 ST 33-1  1.234e+01  [0 1.000e+00 5.054e+04 9.891e-06]  [293 -12 7]
 ST 33-2  1.241e+01  [-37 1.317e-02 6.657e+02 9.808e-06]  [210 -1 20]
 ST 33-3s 1.249e+01  [-133 2.096e-07 1.059e-02 9.675e-06]  [343 -12 20]
 ST 34-1  1.278e+01  [0 1.000e+00 4.380e+04 9.764e-06]  [275 -6 4]
 ST 34-2  1.284e+01  [-42 7.641e-03 3.346e+02 9.900e-06]  [208 -1 15]
 ST 34-3s 1.292e+01  [-134 1.829e-07 8.011e-03 9.730e-06]  [320 -4 19]
 ST 35-1  1.337e+01  [0 1.000e+00 3.930e+04 9.749e-06]  [282 -8 3]
 ST 35-2  1.343e+01  [-31 2.712e-02 1.066e+03 9.799e-06]  [235 -11 17]
 ST 35-3s 1.355e+01  [-104 5.684e-06 2.234e-01 9.998e-06]  [247 -16 10]
 ST 36-1  1.380e+01  [0 1.000e+00 4.429e+04 9.612e-06]  [283 -9 6]
 ST 36-2  1.386e+01  [-26 4.999e-02 2.214e+03 9.891e-06]  [232 -10 17]
 ST 36-3  1.392e+01  [-83 6.458e-05 2.860e+00 9.771e-06]  [240 -13 22]
 ST 36-4s 1.400e+01  [-183 7.027e-10 3.112e-05 1.232e-04]  [241 -13 15]
 ST 37-1  1.425e+01  [0 1.000e+00 3.227e+04 9.800e-06]  [259 -1 5]
 ST 37-2  1.431e+01  [-37 1.270e-02 4.097e+02 9.784e-06]  [235 -11 16]
 ST 37-3s 1.438e+01  [-107 4.087e-06 1.319e-01 9.885e-06]  [214 -4 14]
 ST 38-1  1.461e+01  [0 1.000e+00 2.814e+04 9.929e-06]  [261 -1 7]
