---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 ST 21-3s 5.782e+00  [-140 9.470e-08 1.033e-08 7.009e-05]  [432 -4 43]
 ST 22-1  5.934e+00  [0 1.000e+00 1.039e-01 9.971e-06]  [512 0 16]
 ST 22-2  5.985e+00  [-70 2.866e-04 2.979e-05 9.802e-06]  [521 -2 51]
 ST 22-3s 6.035e+00  [-141 8.024e-08 8.339e-09 8.667e-05]  [424 -2 44]
 ST 23-1  6.205e+00  [0 1.000e+00 9.686e-02 9.969e-06]  [504 -8 17]
 ST 23-2  6.261e+00  [-71 2.631e-04 2.549e-05 9.926e-06]  [519 -1 52]
 ST 23-3s 6.309e+00  [-142 7.130e-08 6.906e-09 1.041e-04]  [418 -1 46]
 ST 24-1  6.475e+00  [0 1.000e+00 9.365e-02 9.971e-06]  [496 -6 16]
 ST 24-2  6.527e+00  [-72 2.398e-04 2.246e-05 9.893e-06]  [517 -1 52]
 ST 24-3s 6.573e+00  [-143 6.401e-08 5.995e-09 1.210e-04]  [407 -8 46]
 ST 25-1  6.728e+00  [0 1.000e+00 8.865e-02 9.893e-06]  [486 -4 15]
 ST 25-2  6.786e+00  [-73 2.150e-04 1.906e-05 9.988e-06]  [518 -1 47]
 ST 25-3s 6.836e+00  [-144 5.730e-08 5.079e-09 1.414e-04]  [399 -7 48]
 ST 26-1  7.047e+00  [0 1.000e+00 8.702e-02 9.981e-06]  [480 -3 12]
 ST 26-2  7.099e+00  [-74 1.925e-04 1.675e-05 9.928e-06]  [517 -1 52]
 ST 26-3s 7.151e+00  [-145 5.113e-08 4.449e-09 1.613e-04]  [392 -6 50]
 ST 27-1  7.327e+00  [0 1.000e+00 8.396e-02 9.859e-06]  [484 -3 14]
 ST 27-2  7.378e+00  [-74 1.802e-04 1.513e-05 9.874e-06]  [517 -1 51]
 ST 27-3s 7.422e+00  [-146 4.783e-08 4.016e-09 1.794e-04]  [383 -4 43]
 ST 28-1  7.565e+00  [0 1.000e+00 8.396e-02 9.999e-06]  [490 -5 17]
 ST 28-2  7.619e+00  [-75 1.761e-04 1.478e-05 9.805e-06]  [512 0 54]
 ST 28-3s 7.665e+00  [-146 4.590e-08 3.854e-09 1.887e-04]  [369 -2 43]
