---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 ST 20-1  1.051e+02  [0 1.000e+00 1.873e-01 9.996e-06]  [2650 -2 26]
 ST 20-2  1.060e+02  [-63 6.737e-04 1.261e-04 9.995e-06]  [2346 -2 83]
 ST 20-3s 1.069e+02  [-139 1.088e-07 2.038e-08 4.526e-05]  [2219 -1 80]
 ST 21-1  1.097e+02  [0 1.000e+00 2.006e-01 9.983e-06]  [2470 -1 31]
 ST 21-2  1.107e+02  [-66 4.877e-04 9.781e-05 9.987e-06]  [2333 -1 83]
 ST 21-3s 1.116e+02  [-141 8.647e-08 1.734e-08 5.317e-05]  [2238 -2 81]
 ST 22-1  1.147e+02  [0 1.000e+00 2.035e-01 9.971e-06]  [2464 0 27]
 ST 22-2  1.156e+02  [-66 4.535e-04 9.230e-05 9.988e-06]  [2326 -1 83]
 ST 22-3s 1.165e+02  [-143 6.722e-08 1.368e-08 6.739e-05]  [2132 -1 81]
 ST 23-1  1.208e+02  [0 1.000e+00 1.859e-01 9.980e-06]  [2426 -1 19]
 ST 23-2  1.217e+02  [-64 5.932e-04 1.103e-04 9.982e-06]  [2269 -1 83]
 ST 23-3s 1.226e+02  [-144 6.285e-08 1.169e-08 7.888e-05]  [2096 0 80]
 ST 24-1  1.259e+02  [0 1.000e+00 1.781e-01 9.993e-06]  [2463 -1 26]
 ST 24-2  1.267e+02  [-61 8.490e-04 1.512e-04 9.996e-06]  [2138 -2 81]
 ST 24-3s 1.276e+02  [-144 5.878e-08 1.047e-08 8.801e-05]  [2161 -1 82]
 ST 25-1  1.309e+02  [0 1.000e+00 1.690e-01 9.982e-06]  [2530 -1 26]
 ST 25-2  1.318e+02  [-64 6.145e-04 1.038e-04 9.991e-06]  [2177 -1 82]
 ST 25-3s 1.327e+02  [-146 4.764e-08 8.049e-09 1.148e-04]  [2048 0 81]
 ST 26-1  1.353e+02  [0 1.000e+00 1.518e-01 9.989e-06]  [2249 0 27]
 ST 26-2  1.364e+02  [-75 1.676e-04 2.544e-05 9.975e-06]  [2496 -2 86]
 ST 26-3s 1.372e+02  [-149 3.364e-08 5.108e-09 1.806e-04]  [1714 -1 79]
 ST 27-1  1.401e+02  [0 1.000e+00 1.384e-01 9.984e-06]  [2369 -1 28]
 ST 27-2  1.410e+02  [-71 2.778e-04 3.844e-05 9.985e-06]  [2352 0 84]
 ST 27-3s 1.418e+02  [-147 4.026e-08 5.571e-09 1.657e-04]  [1858 -1 81]
 ST 28-1  1.439e+02  [0 1.000e+00 1.320e-01 9.985e-06]  [2556 0 41]
 ST 28-2  1.449e+02  [-65 5.573e-04 7.357e-05 9.983e-06]  [2300 0 82]
 ST 28-3s 1.458e+02  [-145 5.314e-08 7.015e-09 1.313e-04]  [1999 0 82]
 ST 29-1  1.524e+02  [0 1.000e+00 1.284e-01 9.970e-06]  [2533 -1 13]
 ST 29-2  1.533e+02  [-65 5.081e-04 6.524e-05 9.995e-06]  [2258 0 81]
 ST 29-3s 1.541e+02  [-145 5.058e-08 6.494e-09 1.421e-04]  [1942 0 78]
 ST 30-1  1.583e+02  [0 1.000e+00 1.303e-01 9.975e-06]  [2476 -1 22]
 ST 30-2  1.593e+02  [-70 3.076e-04 4.008e-05 9.988e-06]  [2231 -2 83]
 ST 30-3s 1.601e+02  [-147 4.217e-08 5.496e-09 1.679e-04]  [1914 -1 82]
 ST 31-1  1.625e+02  [0 1.000e+00 1.364e-01 9.991e-06]  [2502 0 38]
 ST 31-2  1.635e+02  [-69 3.496e-04 4.769e-05 9.998e-06]  [2209 -1 81]
 ST 31-3s 1.642e+02  [-147 4.405e-08 6.009e-09 1.534e-04]  [1850 -1 81]
 ST 32-1  1.661e+02  [0 1.000e+00 1.391e-01 9.969e-06]  [2367 -1 43]
 ST 32-2  1.670e+02  [-66 4.491e-04 6.247e-05 9.988e-06]  [2196 0 82]
 ST 32-3s 1.678e+02  [-146 4.859e-08 6.759e-09 1.364e-04]  [1913 -1 80]
 ST 33-1  1.695e+02  [0 1.000e+00 1.372e-01 9.967e-06]  [2265 -1 45]
 ST 33-2  1.710e+02  [-66 4.874e-04 6.689e-05 9.985e-06]  [2180 -1 90]
