---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 ST 21-3s 7.863e+00  [-179 1.007e-09 2.519e-11 3.199e-02]  [47 -34 5]
 ST 22-1  8.122e+00  [0 1.000e+00 2.415e-02 9.708e-06]  [281 -7 6]
 ST 22-2  8.190e+00  [-91 2.565e-05 6.194e-07 9.631e-06]  [278 -10 24]
 ST 22-3s 8.245e+00  [-179 1.105e-09 2.669e-11 2.977e-02]  [57 -1 5]
 ST 23-1  8.505e+00  [0 1.000e+00 2.248e-02 9.797e-06]  [267 -3 5]
 ST 23-2  8.576e+00  [-94 1.902e-05 4.277e-07 9.759e-06]  [323 -4 23]
 ST 23-3s 8.632e+00  [-178 1.166e-09 2.621e-11 3.049e-02]  [47 -35 4]
 ST 24-1  8.888e+00  [0 1.000e+00 2.098e-02 9.795e-06]  [271 -5 5]
 ST 24-2  8.956e+00  [-93 2.200e-05 4.615e-07 9.694e-06]  [277 -9 22]
 ST 24-3s 9.012e+00  [-178 1.218e-09 2.555e-11 3.157e-02]  [63 -3 5]
 ST 25-1  9.269e+00  [0 1.000e+00 2.124e-02 9.919e-06]  [271 -4 5]
 ST 25-2  9.336e+00  [-95 1.688e-05 3.586e-07 9.666e-06]  [286 -13 22]
 ST 25-3s 9.391e+00  [-178 1.238e-09 2.630e-11 2.843e-02]  [46 -36 4]
 ST 26-1  9.644e+00  [0 1.000e+00 1.866e-02 9.882e-06]  [280 -7 6]
 ST 26-2  9.712e+00  [-96 1.455e-05 2.716e-07 9.970e-06]  [303 -15 26]
 ST 26-3s 9.767e+00  [-177 1.379e-09 2.574e-11 3.123e-02]  [48 -35 5]
 ST 27-1  1.002e+01  [0 1.000e+00 1.873e-02 9.792e-06]  [267 -3 6]
 ST 27-2  1.009e+01  [-98 1.238e-05 2.319e-07 9.646e-06]  [294 -16 24]
 ST 27-3s 1.014e+01  [-177 1.334e-09 2.499e-11 3.121e-02]  [44 -35 4]
 ST 28-1  1.039e+01  [0 1.000e+00 1.480e-02 9.777e-06]  [284 -8 6]
 ST 28-2  1.045e+01  [-93 2.047e-05 3.029e-07 9.853e-06]  [302 -16 23]
 ST 28-3s 1.051e+01  [-175 1.767e-09 2.615e-11 3.035e-02]  [49 -35 5]
 ST 29-1  1.075e+01  [0 1.000e+00 1.425e-02 9.783e-06]  [290 -10 5]
 ST 29-2  1.083e+01  [-93 2.010e-05 2.865e-07 9.850e-06]  [330 -6 22]
 ST 29-3s 1.088e+01  [-174 1.832e-09 2.611e-11 3.055e-02]  [45 -35 4]
 ST 30-1  1.114e+01  [0 1.000e+00 2.420e-01 9.990e-06]  [295 -12 6]
 ST 30-2  1.120e+01  [-63 6.649e-04 1.609e-04 9.804e-06]  [230 -9 19]
 ST 30-3s 1.126e+01  [-163 6.519e-09 1.578e-09 5.092e-04]  [184 -12 17]
 ST 31-1  1.152e+01  [0 1.000e+00 9.844e+00 9.788e-06]  [293 -12 6]
 ST 31-2  1.158e+01  [-32 2.502e-02 2.463e-01 9.684e-06]  [211 -2 20]
 ST 31-3s 1.165e+01  [-130 3.097e-07 3.049e-06 9.838e-06]  [365 -2 29]
 ST 32-1  1.193e+01  [0 1.000e+00 7.537e+00 9.990e-06]  [315 -2 8]
 ST 32-2  1.200e+01  [-29 3.378e-02 2.546e-01 9.932e-06]  [215 -3 15]
 ST 32-3s 1.207e+01  [-126 4.850e-07 3.656e-06 9.746e-06]  [351 -14 28]
 ST 33-1  1.232e+01  [0 1.000e+00 1.037e+01 9.813e-06]  [294 -12 6]
 ST 33-2  1.238e+01  [-37 1.315e-02 1.364e-01 9.741e-06]  [213 -2 19]
 ST 33-3s 1.245e+01  [-133 2.103e-07 2.181e-06 9.866e-06]  [334 -9 25]
 ST 34-1  1.271e+01  [0 1.000e+00 8.939e+00 9.917e-06]  [275 -6 6]
 ST 34-2  1.277e+01  [-42 7.728e-03 6.909e-02 9.907e-06]  [206 0 18]
 ST 34-3s 1.284e+01  [-135 1.631e-07 1.458e-06 9.959e-06]  [318 -3 25]
 ST 35-1  1.309e+01  [0 1.000e+00 9.161e+00 9.906e-06]  [277 -7 5]
 ST 35-2  1.316e+01  [-33 2.040e-02 1.869e-01 9.746e-06]  [239 -12 17]
 ST 35-3s 1.322e+01  [-106 4.759e-06 4.359e-05 9.834e-06]  [246 -15 17]
 ST 36-1  1.348e+01  [0 1.000e+00 1.092e+01 9.812e-06]  [278 -7 6]
 ST 36-2  1.354e+01  [-28 3.591e-02 3.921e-01 9.663e-06]  [234 -10 20]
 ST 36-3  1.361e+01  [-85 5.333e-05 5.824e-04 9.739e-06]  [239 -12 19]
 ST 36-4s 1.367e+01  [-184 5.827e-10 6.363e-09 1.277e-04]  [244 -14 19]
 ST 37-1  1.392e+01  [0 1.000e+00 1.177e+01 9.794e-06]  [236 -13 5]
 ST 37-2  1.399e+01  [-41 8.230e-03 9.683e-02 9.965e-06]  [235 -11 20]
 ST 37-3s 1.405e+01  [-110 3.088e-06 3.634e-05 9.858e-06]  [213 -3 16]
 ST 38-1  1.431e+01  [0 1.000e+00 9.722e+00 9.845e-06]  [232 -11 5]
