---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 ST 21-3s 9.011e+00  [-159 1.071e-08 1.051e-09 1.183e-03]  [543 -3 52]
 ST 22-1  9.242e+00  [0 1.000e+00 9.881e-02 9.942e-06]  [925 0 36]
 ST 22-2  9.309e+00  [-66 4.898e-04 4.840e-05 9.972e-06]  [859 -4 63]
 ST 22-3s 9.360e+00  [-154 1.880e-08 1.858e-09 6.712e-04]  [592 -2 53]
 ST 23-1  9.640e+00  [0 1.000e+00 9.103e-02 9.912e-06]  [892 -3 15]
 ST 23-2  9.712e+00  [-66 4.912e-04 4.472e-05 9.966e-06]  [846 -2 63]
 ST 23-3s 9.774e+00  [-156 1.560e-08 1.420e-09 8.755e-04]  [543 -4 60]
 ST 24-1  9.991e+00  [0 1.000e+00 9.017e-02 9.987e-06]  [835 -2 18]
 ST 24-2  1.006e+01  [-75 1.656e-04 1.493e-05 9.901e-06]  [944 -3 66]
 ST 24-3s 1.011e+01  [-161 8.112e-09 7.315e-10 1.703e-03]  [501 -4 50]
 ST 25-1  1.030e+01  [0 1.000e+00 8.706e-02 9.989e-06]  [886 -2 23]
 ST 25-2  1.037e+01  [-74 1.886e-04 1.642e-05 9.983e-06]  [967 -4 65]
 ST 25-3s 1.042e+01  [-161 8.623e-09 7.507e-10 1.664e-03]  [504 -4 50]
 ST 26-1  1.071e+01  [0 1.000e+00 8.810e-02 9.956e-06]  [931 -1 14]
 ST 26-2  1.078e+01  [-67 4.066e-04 3.582e-05 9.954e-06]  [866 -5 65]
 ST 26-3s 1.087e+01  [-158 1.164e-08 1.026e-09 1.204e-03]  [525 -2 40]
 ST 27-1  1.108e+01  [0 1.000e+00 8.367e-02 9.914e-06]  [911 -4 20]
 ST 27-2  1.115e+01  [-67 3.989e-04 3.338e-05 9.977e-06]  [869 0 62]
 ST 27-3s 1.120e+01  [-159 1.035e-08 8.662e-10 1.443e-03]  [525 -2 48]
 ST 28-1  1.140e+01  [0 1.000e+00 8.476e-02 9.922e-06]  [882 -1 19]
 ST 28-2  1.147e+01  [-73 2.162e-04 1.832e-05 9.963e-06]  [947 -3 62]
 ST 28-3s 1.154e+01  [-161 8.027e-09 6.803e-10 1.822e-03]  [508 -5 43]
 ST 29-1  1.182e+01  [0 1.000e+00 8.141e-02 9.932e-06]  [755 -4 15]
 ST 29-2  1.194e+01  [-75 1.774e-04 1.444e-05 9.940e-06]  [964 -4 47]
 ST 29-3s 1.200e+01  [-162 7.888e-09 6.422e-10 1.935e-03]  [484 -2 42]
 ST 30-1  1.224e+01  [0 1.000e+00 8.256e-02 9.931e-06]  [864 -4 18]
 ST 30-2  1.231e+01  [-72 2.390e-04 1.973e-05 9.938e-06]  [928 -1 67]
 ST 30-3s 1.236e+01  [-161 8.124e-09 6.707e-10 1.860e-03]  [501 -4 50]
 ST 31-1  1.255e+01  [0 1.000e+00 7.890e-02 9.988e-06]  [887 -1 23]
 ST 31-2  1.263e+01  [-70 3.136e-04 2.475e-05 9.972e-06]  [910 -4 68]
 ST 31-3s 1.273e+01  [-161 8.636e-09 6.813e-10 1.815e-03]  [508 -5 27]
 ST 32-1  1.310e+01  [0 1.000e+00 8.041e-02 9.975e-06]  [901 -3 13]
 ST 32-2  1.317e+01  [-71 2.736e-04 2.200e-05 9.987e-06]  [928 -1 67]
 ST 32-3s 1.323e+01  [-162 7.814e-09 6.284e-10 1.972e-03]  [501 -4 41]
 ST 33-1  1.343e+01  [0 1.000e+00 7.705e-02 9.902e-06]  [878 -1 22]
 ST 33-2  1.350e+01  [-74 1.927e-04 1.485e-05 9.941e-06]  [948 -3 62]
 ST 33-3s 1.355e+01  [-163 6.545e-09 5.043e-10 2.467e-03]  [476 -1 49]
 ST 34-1  1.374e+01  [0 1.000e+00 7.799e-02 9.997e-06]  [843 -2 21]
 ST 34-2  1.381e+01  [-73 2.014e-04 1.571e-05 9.966e-06]  [916 -5 67]
 ST 34-3s 1.386e+01  [-163 6.724e-09 5.244e-10 2.378e-03]  [475 -1 43]
 ST 35-1  1.414e+01  [0 1.000e+00 7.485e-02 9.956e-06]  [843 -3 14]
 ST 35-2  1.420e+01  [-70 3.013e-04 2.255e-05 9.995e-06]  [857 -4 63]
 ST 35-3s 1.425e+01  [-163 7.039e-09 5.269e-10 2.355e-03]  [497 -3 48]
 ST 36-1  1.460e+01  [0 1.000e+00 7.601e-02 9.968e-06]  [857 -4 12]
 ST 36-2  1.466e+01  [-71 2.514e-04 1.911e-05 9.998e-06]  [901 -3 63]
 ST 36-3s 1.471e+01  [-163 6.672e-09 5.071e-10 2.460e-03]  [469 0 46]
 ST 37-1  1.501e+01  [0 1.000e+00 7.265e-02 9.949e-06]  [848 -3 13]
 ST 37-2  1.508e+01  [-76 1.469e-04 1.067e-05 9.943e-06]  [909 -4 61]
 ST 37-3s 1.514e+01  [-166 5.008e-09 3.638e-10 3.406e-03]  [426 -2 43]
 ST 38-1  1.539e+01  [0 1.000e+00 7.332e-02 9.953e-06]  [829 -1 15]
 ST 38-2  1.546e+01  [-77 1.322e-04 9.690e-06 9.953e-06]  [870 0 63]
 ST 38-3s 1.551e+01  [-166 4.789e-09 3.511e-10 3.551e-03]  [429 -3 39]
 ST 39-1  1.571e+01  [0 1.000e+00 7.103e-02 9.934e-06]  [782 -1 18]
 ST 39-2  1.578e+01  [-74 1.941e-04 1.379e-05 9.940e-06]  [822 -1 64]
