---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
 ST 21-2  7.300e+01  [-68 3.817e-04 9.959e-05 9.962e-06]  [1953 -1 81]
 ST 21-3s 7.384e+01  [-168 3.806e-09 9.929e-10 3.075e-04]  [1287 -1 73]
 ST 22-1  7.524e+01  [0 1.000e+00 2.711e-01 9.995e-06]  [1354 -1 47]
 ST 22-2  7.617e+01  [-63 6.855e-04 1.859e-04 9.971e-06]  [1580 -2 77]
 ST 22-3s 7.758e+01  [-163 6.839e-09 1.854e-09 1.642e-04]  [2050 0 86]
 ST 23-1  7.918e+01  [0 1.000e+00 2.692e-01 9.977e-06]  [1542 0 48]
 ST 23-2  8.035e+01  [-77 1.367e-04 3.679e-05 9.989e-06]  [1995 0 82]
 ST 23-3s 8.121e+01  [-177 1.367e-09 3.680e-10 8.299e-04]  [1417 -2 75]
 ST 24-1  8.268e+01  [0 1.000e+00 2.937e-01 9.975e-06]  [1540 0 47]
 ST 24-2  8.371e+01  [-73 2.088e-04 6.130e-05 9.992e-06]  [1917 -1 81]
 ST 24-3s 8.430e+01  [-173 2.087e-09 6.129e-10 4.973e-04]  [905 -2 66]
 ST 25-1  8.567e+01  [0 1.000e+00 3.187e-01 9.964e-06]  [1448 -1 47]
 ST 25-2  8.665e+01  [-74 1.983e-04 6.321e-05 9.980e-06]  [1898 0 80]
 ST 25-3s 8.734e+01  [-174 1.980e-09 6.312e-10 4.820e-04]  [1147 -1 72]
 ST 26-1  8.861e+01  [0 1.000e+00 3.231e-01 9.992e-06]  [1286 0 46]
 ST 26-2  8.985e+01  [-91 2.814e-05 9.091e-06 9.964e-06]  [2317 -1 84]
 ST 26-3s 9.029e+01  [-190 2.901e-10 9.372e-11 3.258e-03]  [527 -1 54]
 ST 27-1  9.162e+01  [0 1.000e+00 3.413e-01 9.953e-06]  [1271 -2 43]
 ST 27-2  9.271e+01  [-76 1.513e-04 5.164e-05 9.981e-06]  [2028 -2 82]
 ST 27-3s 9.330e+01  [-176 1.511e-09 5.158e-10 5.890e-04]  [864 -2 66]
 ST 28-1  9.667e+01  [0 1.000e+00 3.730e-01 9.988e-06]  [1436 0 20]
 ST 28-2  9.787e+01  [-83 6.816e-05 2.542e-05 9.998e-06]  [2067 -1 82]
 ST 28-3s 9.843e+01  [-183 6.855e-10 2.557e-10 1.193e-03]  [741 -1 63]
 ST 29-1  9.984e+01  [0 1.000e+00 3.902e-01 9.945e-06]  [1493 -1 47]
 ST 29-2  1.009e+02  [-84 5.763e-05 2.249e-05 9.953e-06]  [2030 -2 83]
 ST 29-3s 1.017e+02  [-184 5.782e-10 2.256e-10 1.349e-03]  [1265 -2 74]
 ST 30-1  1.031e+02  [0 1.000e+00 4.110e-01 9.966e-06]  [1453 -1 46]
 ST 30-2  1.041e+02  [-79 1.049e-04 4.310e-05 9.954e-06]  [1967 -1 82]
 ST 30-3s 1.046e+02  [-179 1.047e-09 4.305e-10 7.081e-04]  [738 -1 60]
 ST 31-1  1.060e+02  [0 1.000e+00 4.488e-01 9.990e-06]  [1366 -2 48]
 ST 31-2  1.071e+02  [-81 8.702e-05 3.905e-05 9.988e-06]  [2016 -1 81]
 ST 31-3s 1.076e+02  [-181 8.752e-10 3.928e-10 7.775e-04]  [815 -3 66]
 ST 32-1  1.089e+02  [0 1.000e+00 4.798e-01 9.973e-06]  [1303 -1 45]
 ST 32-2  1.100e+02  [-85 5.331e-05 2.558e-05 9.963e-06]  [2129 -2 83]
 ST 32-3s 1.106e+02  [-185 5.396e-10 2.589e-10 1.176e-03]  [762 -2 65]
 ST 33-1  1.121e+02  [0 1.000e+00 5.060e-01 9.982e-06]  [1362 -2 42]
 ST 33-2  1.132e+02  [-83 6.964e-05 3.524e-05 9.985e-06]  [2051 0 82]
 ST 33-3s 1.139e+02  [-183 7.052e-10 3.568e-10 8.519e-04]  [1155 -1 72]
 ST 34-1  1.152e+02  [0 1.000e+00 5.491e-01 9.956e-06]  [1404 -1 48]
 ST 34-2  1.163e+02  [-77 1.279e-04 7.021e-05 9.973e-06]  [1911 -1 82]
 ST 34-3s 1.169e+02  [-177 1.289e-09 7.077e-10 4.312e-04]  [885 -1 65]
 ST 35-1  1.184e+02  [0 1.000e+00 5.996e-01 9.983e-06]  [1423 -2 47]
 ST 35-2  1.195e+02  [-79 1.054e-04 6.319e-05 9.990e-06]  [1963 -1 82]
 ST 35-3s 1.201e+02  [-179 1.075e-09 6.444e-10 4.736e-04]  [908 -2 66]
 ST 36-1  1.216e+02  [0 1.000e+00 6.471e-01 9.958e-06]  [1390 -1 46]
 ST 36-2  1.227e+02  [-80 9.730e-05 6.296e-05 9.991e-06]  [1977 -2 82]
 ST 36-3s 1.234e+02  [-179 1.001e-09 6.475e-10 4.687e-04]  [1168 -2 73]
 ST 37-1  1.251e+02  [0 1.000e+00 7.044e-01 9.998e-06]  [1333 0 48]
 ST 37-2  1.285e+02  [-78 1.208e-04 8.509e-05 9.974e-06]  [1953 -1 92]
 ST 37-3s 1.293e+02  [-178 1.241e-09 8.742e-10 3.474e-04]  [1180 -1 72]
 ST 38-1  1.307e+02  [0 1.000e+00 7.738e-01 9.967e-06]  [1322 -2 44]
 ST 38-2  1.318e+02  [-78 1.169e-04 9.043e-05 9.984e-06]  [1974 -2 81]
 ST 38-3s 1.326e+02  [-178 1.223e-09 9.461e-10 3.207e-04]  [1281 -1 74]
 ST 39-1  1.339e+02  [0 1.000e+00 8.471e-01 9.998e-06]  [1358 -1 51]
 ST 39-2  1.350e+02  [-77 1.285e-04 1.089e-04 9.989e-06]  [1940 0 81]
 ST 39-3s 1.360e+02  [-177 1.371e-09 1.161e-09 2.629e-04]  [1842 0 81]
 ST 40-1  1.373e+02  [0 1.000e+00 9.341e-01 9.956e-06]  [1368 -2 50]
 ST 40-2  1.384e+02  [-74 1.842e-04 1.721e-04 9.960e-06]  [1884 -2 81]
